,Địa chỉ,Khu vực,phường/xã,dự án/số hẻm đường,Khoảng giá phổ biến Min,Giá phổ biến nhất,Khoảng giá phổ biến Max,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Mức giá
1352,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",Quận 12,Đông Hưng Thuận,Đường Nguyễn Văn Quá,52,70,180,330.0,5,4,4,42900.0
1353,"Đường Làng Tăng Phú, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",Quận 9,Tăng Nhơn Phú A,Đường Làng Tăng Phú,66,84,209,78.0,3,4,4,10500.0
1354,"Đường Quang Trung, Phường 10, Gò Vấp, Hồ Chí Minh",Gò Vấp,10,Đường Quang Trung,101,132,299,42.0,4,4,5,4300.0
1355,"Dự án An Phú An Khánh, Đường Cao Đức Lân, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,An Phú,"Dự án An Phú An Khánh, Đường Cao Đức Lân",70,232,574,200.0,3,6,6,57000.0
1356,"Đường Hà Duy Phiên, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh",Củ Chi,Bình Mỹ,Đường Hà Duy Phiên,18,25,40,89.0,2,3,2,2700.0
1357,"Đường 1, Phường Tân Phú, Quận 7, Hồ Chí Minh",Quận 7,Tân Phú,Đường 1,68,236,479,480.0,3,4,4,60000.0
1358,"Dự án Vinhomes Grand Park quận 9, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Long Thạnh Mỹ,Dự án Vinhomes Grand Park quận 9,58,141,317,200.0,3,4,4,18400.0
1359,"Đường Hồ Văn Huê, Phường 9, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,9,Đường Hồ Văn Huê,138,177,362,70.0,3,4,4,24000.0
1360,"Đường Lê Văn Duyệt, Phường 1, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,1,Đường Lê Văn Duyệt,102,139,421,36.0,3,4,4,6400.0
1361,"Đường Lê Lợi, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Quận 1,Bến Nghé,Đường Lê Lợi,300,1163,2084,192.0,4,5,6,180000.0
1362,"Dự án Jamona Golden Silk, Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",Quận 7,Tân Thuận Đông,"Dự án Jamona Golden Silk, Đường Bùi Văn Ba",85,146,224,133.2,3,4,5,18500.0
1363,"Dự án Zenta Home 16, Đường Thạnh Lộc 16, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",Quận 12,Thạnh Lộc,"Dự án Zenta Home 16, Đường Thạnh Lộc 16",57,79,223,55.0,3,4,4,8000.0
1364,"Dự án Trung Sơn, Đường Số 8, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",Bình Chánh,Bình Hưng,"Dự án Trung Sơn, Đường Số 8",67,118,296,100.0,3,4,4,21000.0
1365,"Đường Tân Khai, Phường 4, Quận 11, Hồ Chí Minh",Quận 11,4,Đường Tân Khai,168,247,322,38.0,4,4,3,10500.0
1366,"Đường Nguyễn Đình Chính, Phường 15, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,15,Đường Nguyễn Đình Chính,162,209,899,189.0,3,4,4,38500.0
1367,"120 Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Quận 2,Thảo Điền,120 Đường Nguyễn Văn Hưởng,54,236,630,200.0,3,7,8,53000.0
1368,"Đường Nguyễn Kiệm, Phường 9, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,9,Đường Nguyễn Kiệm,138,177,362,475.0,3,4,4,50000.0
1369,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",Gò Vấp,10,"Dự án CityLand Park Hills, Đường Phan Văn Trị",101,132,299,220.0,4,4,4,40000.0
1370,"Đường Bình Chiểu, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh",Thủ Đức,Bình Chiểu,Đường Bình Chiểu,50,65,147,50.0,2,2,2,2750.0
1371,"Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh",Quận 10,14,Đường 3/2,152,202,404,92.0,6,20,20,22000.0
1372,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn",41,147,214,75.0,3,3,3,7500.0
1373,"Dự án Him Lam Kênh Tẻ, Đường D1, Phường Tân Hưng, Quận 7, Hồ Chí Minh",Quận 7,Tân Hưng,"Dự án Him Lam Kênh Tẻ, Đường D1",94,140,421,100.0,3,4,4,25000.0
1374,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",Quận 12,An Phú Đông,Đường Vườn Lài,59,78,125,70.0,4,4,5,5500.0
1375,"Dự án Mega Village, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Mega Village, Đường Võ Chí Công",41,147,214,120.0,3,4,4,8600.0
1376,"Dự án Amelie Villa Phú Mỹ Hưng, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà Bè,Phú Xuân,"Dự án Amelie Villa Phú Mỹ Hưng, Đường Huỳnh Tấn Phát",44,102,158,120.0,3,5,5,10300.0
1377,"Đường Thống Nhất, Phường 11, Gò Vấp, Hồ Chí Minh",Gò Vấp,11,Đường Thống Nhất,101,132,299,54.0,5,4,4,8990.0
1378,"Đường Cửu Long, Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,2,Đường Cửu Long,138,281,444,82.0,3,4,4,19000.0
1379,"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Melosa Garden, Đường Vành Đai Trong",41,147,214,100.0,3,4,4,9900.0
1380,"Hẻm 23, Đường Đồng Xoài, Phường 13, Tân Bình, Hồ Chí Minh",Tân Bình,13,"Hẻm 23, Đường Đồng Xoài",112,148,349,52.0,4,4,4,7800.0
1381,"Đường Lạc Long Quân, Phường 10, Tân Bình, Hồ Chí Minh",Tân Bình,10,Đường Lạc Long Quân,97,130,295,47.0,2,2,4,3000.0
1382,"Đường Ngô Thời Nhiệm, Phường 6, Quận 3, Hồ Chí Minh",Quận 3,6,Đường Ngô Thời Nhiệm,205,640,1032,50.0,2,2,2,15900.0
1383,"Đường Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh.",Quận 9,Tăng Nhơn Phú A,Đường Lê Văn Việt,66,84,209,83.0,2,3,2,102.0
1384,"Đường Cư Xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh",Quận 11,15,Đường Cư Xá Lữ Gia,108,130,289,56.0,3,4,4,12500.0
1385,"Phố Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",Quận 7,Tân Thuận Tây,Phố Huỳnh Tấn Phát,82,113,370,68.0,3,4,5,9370.0
1386,"Đường Phan Xích Long, Phường 2, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,2,Đường Phan Xích Long,135,344,586,56.0,5,4,4,22000.0
1387,"Đường Lê Văn Sỹ, Phường 13, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,13,Đường Lê Văn Sỹ,142,181,410,208.0,5,4,4,45000.0
1388,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",Gò Vấp,8,Đường Quang Trung,92,118,194,108.0,2,4,4,13100.0
1389,"66E Đường Pasteur, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Quận 1,Bến Nghé,66E Đường Pasteur,300,1163,2084,82.57,1,4,3,13500.0
1390,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",Quận 9,Trường Thạnh,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh",52,69,109,160.0,3,3,3,10500.0
1391,"Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Võ Thị Sáu,0,180,541,970,126.0,6,4,4,40000.0
1392,"Đường Đoàn Văn Bơ, Phường 9, Quận 4, Hồ Chí Minh",Quận 4,9,Đường Đoàn Văn Bơ,160,202,650,21.6,5,3,3,5750.0
1393,"Dự án Mỹ Gia 1, Đường 20, Phường Tân Phú, Quận 7, Hồ Chí Minh",Quận 7,Tân Phú,"Dự án Mỹ Gia 1, Đường 20",68,236,479,255.0,3,4,4,71000.0
1394,"Đường Phạm Văn Bạch, Phường 15, Tân Bình, Hồ Chí Minh",Tân Bình,15,Đường Phạm Văn Bạch,84,106,262,104.0,5,14,14,10800.0
1395,"Đường Trần Não, Phường An Khánh, Quận 2, Hồ Chí Minh",Quận 2,An Khánh,Đường Trần Não,156,206,469,452.0,3,4,3,63000.0
1396,"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,13,Đường Nơ Trang Long,102,139,421,28.0,2,2,2,2650.0
1397,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án The Classia, Đường Võ Chí Công",41,147,214,140.0,4,4,4,155.0
1398,"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",Quận 11,5,Đường Lạc Long Quân,100,137,354,32.0,3,2,4,1650.0
1399,"Đường Chương Dương, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",Thủ Đức,Linh Chiểu,Đường Chương Dương,60,85,259,42.0,3,2,2,2900.0
1400,"35, Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",Quận 1,Cầu Kho,"35, Đường Trần Đình Xu",196,251,629,60.0,4,7,6,14900.0
1401,"Đường Hoa Sữa, Phường 7, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,7,Đường Hoa Sữa,120,174,524,40.0,4,4,5,10200.0
1402,"Phường Tam Bình, Thủ Đức, Hồ Chí Minh",Thủ Đức,Tam Bình,0,56,81,196,80.0,3,4,4,4300.0
1403,"45/12 Đường 14, Phường 8, Gò Vấp, Hồ Chí Minh",Gò Vấp,8,45/12 Đường 14,92,118,194,38.0,3,3,4,5300.0
1404,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,13,Đường Đặng Thùy Trâm,102,139,421,100.0,4,4,5,10500.0
1405,"Dự án Mỹ Giang 1&2, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",Quận 7,Tân Phong,"Dự án Mỹ Giang 1&2, Đường Nguyễn Đức Cảnh",56,235,510,126.0,3,4,4,30000.0
1406,"Đường Lê Thị Hồng, Phường 17, Gò Vấp, Hồ Chí Minh",Gò Vấp,17,Đường Lê Thị Hồng,101,132,299,93.0,3,2,2,10500.0
1407,"Đường Số 3, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",Bình Tân,Bình Hưng Hòa A,Đường Số 3,67,86,179,46.0,2,4,3,2900.0
1408,"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,12,Đường Bùi Đình Túy,97,141,284,88.0,2,3,2,8600.0
1409,"Đường Trần Hưng Đạo, Phường Cô Giang, Quận 1, Hồ Chí Minh",Quận 1,Cô Giang,Đường Trần Hưng Đạo,190,451,740,340.0,4,5,6,280000.0
1410,"Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh",Quận 7,Tân Phú,Đường Nguyễn Thị Thập,68,236,479,594.0,10,192,192,170000.0
1411,"Đường Tô Hiến Thành, Phường 15, Quận 10, Hồ Chí Minh",Quận 10,15,Đường Tô Hiến Thành,152,202,404,65.0,3,3,3,3500.0
1412,"Đường Diệp Minh Châu, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Sơn Nhì,Đường Diệp Minh Châu,43,122,264,72.0,4,4,4,14300.0
1413,"Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,24,Đường Bùi Đình Túy,97,141,284,116.0,4,4,4,11000.0
1414,"Đường Lê Đức Thọ, Phường 17, Gò Vấp, Hồ Chí Minh",Gò Vấp,17,Đường Lê Đức Thọ,101,132,299,148.2,3,3,4,14700.0
1415,"Đường Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Võ Thị Sáu,Đường Nguyễn Đình Chiểu,180,541,970,180.0,4,5,6,99000.0
1416,"Đường Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh",Quận 6,11,Đường Hậu Giang,181,219,272,332.0,3,4,4,25000.0
1417,"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,13,Đường Nơ Trang Long,102,139,421,113.0,3,4,4,7000.0
1418,"Đường Hồ Biểu Chánh, Phường 11, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,11,Đường Hồ Biểu Chánh,144,185,634,126.0,6,6,7,17900.0
1419,"Đường Tân Chánh Hiệp 25, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh.",Quận 12,Tân Chánh Hiệp,Đường Tân Chánh Hiệp 25,52,72,134,86.0,4,5,5,7000.0
1420,"Đường Nguyễn Đình Chiểu, Phường 4, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,4,Đường Nguyễn Đình Chiểu,139,175,345,375.2,2,4,4,80000.0
1421,"Đường Trần Quang Cơ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",Quận 12,Hiệp Thành,Đường Trần Quang Cơ,49,67,133,33.0,1,2,2,1780.0
1422,"Đường Vườn Lài, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh.",Tân Phú,Phú Thọ Hòa,Đường Vườn Lài,82,107,262,74.0,2,4,4,6600.0
1423,"Đường Tôn Thất Thuyết, Phường 2, Quận 4, Hồ Chí Minh",Quận 4,2,Đường Tôn Thất Thuyết,90,117,1305,38.0,2,3,2,2690.0
1424,"Đường Yên Thế, Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,2,Đường Yên Thế,138,281,444,198.0,6,4,4,38000.0
1425,"7A, Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh",Quận 10,14,"7A, Đường Thành Thái",152,202,404,90.0,3,4,4,28000.0
1426,"Dự án Saigon Mystery Villas, Đường Bát Nàn, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Quận 2,Bình Trưng Tây,"Dự án Saigon Mystery Villas, Đường Bát Nàn",86,125,357,100.0,3,4,4,26000.0
1427,"Dự án Lovera Premier, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",Bình Chánh,Phong Phú,"Dự án Lovera Premier, Đường Trịnh Quang Nghị",57,87,136,183.0,4,4,4,14700.0
1428,"Đường Hàn Thuyên, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",Thủ Đức,Bình Thọ,Đường Hàn Thuyên,87,153,248,389.0,3,4,4,42000.0
1429,"Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,12,Đường Chu Văn An,97,141,284,72.0,5,4,5,9900.0
1430,"Dự án Lovera Park, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",Bình Chánh,Phong Phú,"Dự án Lovera Park, Đường Trịnh Quang Nghị",57,87,136,75.0,3,3,3,6500.0
1431,"Đường Huỳnh Văn Bánh, Phường 14, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,14,Đường Huỳnh Văn Bánh,160,195,381,86.8,6,13,13,17000.0
1432,"Đường Tây Thạnh, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",Tân Phú,Tây Thạnh,Đường Tây Thạnh,84,139,205,200.0,1,2,2,26800.0
1433,"Phường 7, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,7,0,120,174,524,160.0,3,4,4,17500.0
1434,"Đường 6, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hiệp Bình Chánh,Đường 6,80,116,214,32.0,2,2,2,3750.0
1435,"Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Hồ Chí Minh",Quận 7,Tân Phong,Đường Lê Văn Lương,56,235,510,100.0,4,4,5,13800.0
1436,"Phường 3, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,3,0,106,141,404,130.0,3,4,4,15500.0
1437,"Đường Hương Lộ 80B, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",Quận 12,Hiệp Thành,Đường Hương Lộ 80B,49,67,133,100.0,3,4,4,12500.0
1438,"Đường Nơ Trang Long, Phường 11, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,11,Đường Nơ Trang Long,102,139,421,61.3,3,7,7,4800.0
1439,"Đường 101, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",Quận 2,Thạnh Mỹ Lợi,Đường 101,54,392,615,144.0,3,4,4,14500.0
1440,"Dự án La Casa, Đường Lê Thị Chợ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Quận 7,Phú Thuận,"Dự án La Casa, Đường Lê Thị Chợ",39,108,239,180.0,6,24,25,33000.0
1441,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh",Quận 1,Tân Định,Đường Thạch Thị Thanh,197,430,660,96.0,3,4,4,16500.0
1442,"Đường Hoàng Văn Thụ, Phường 9, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,9,Đường Hoàng Văn Thụ,138,177,362,135.0,3,4,4,26000.0
1443,"Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,25,Đường Nguyễn Gia Trí,97,141,284,81.0,4,4,4,33000.0
1444,"Đường Số 25, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hiệp Bình Chánh,Đường Số 25,80,116,214,57.0,3,4,4,5700.0
1445,"Đường Trường Sa, Phường 15, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,15,Đường Trường Sa,102,139,421,30.0,3,2,3,4200.0
1446,"710, Đường Lũy Bán Bích, Phường Tân Thành, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Thành,"710, Đường Lũy Bán Bích",64,165,241,64.0,1,2,1,5500.0
1447,"Đường Đất Thánh, Phường 7, Tân Bình, Hồ Chí Minh",Tân Bình,7,Đường Đất Thánh,122,162,325,110.0,4,5,5,11500.0
1448,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",Quận 3,14,Đường Lê Văn Sỹ,146,184,696,200.0,3,4,5,36000.0
1449,"Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,25,Đường Xô Viết Nghệ Tĩnh,97,141,284,65.4,3,3,3,21000.0
1450,"Đường Số 1, Phường 16, Gò Vấp, Hồ Chí Minh",Gò Vấp,16,Đường Số 1,101,132,299,40.0,3,3,4,4000.0
1451,"Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh",Hóc Môn,Xuân Thới Đông,0,38,53,86,49.0,2,4,1,2650.0
1452,"Đường Nguyễn Văn Nghi, Phường 7, Gò Vấp, Hồ Chí Minh",Gò Vấp,7,Đường Nguyễn Văn Nghi,89,119,289,46.0,3,3,4,4700.0
1453,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Quận 7,Phú Thuận,Đường Huỳnh Tấn Phát,39,108,239,126.0,3,4,3,8400.0
1454,"Đường Nguyễn Đăng Giai, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Quận 2,Thảo Điền,Đường Nguyễn Đăng Giai,54,236,630,68.0,7,4,4,20000.0
1455,"Đường 14, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",Thủ Đức,Linh Chiểu,Đường 14,60,85,259,93.6,1,3,2,6200.0
1456,"Đường Lê Đức Thọ, Phường 7, Gò Vấp, Hồ Chí Minh",Gò Vấp,7,Đường Lê Đức Thọ,89,119,289,53.3,4,4,6,8000.0
1457,"Đường Bùi Thị Xuân, Phường 1, Tân Bình, Hồ Chí Minh",Tân Bình,1,Đường Bùi Thị Xuân,155,195,454,108.0,3,3,3,12500.0
1458,"Đường Số 10, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hiệp Bình Chánh,Đường Số 10,80,116,214,75.0,2,3,2,5790.0
1459,"Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Võ Thị Sáu,Đường Nam Kỳ Khởi Nghĩa,180,541,970,92.0,3,4,4,36800.0
1460,"Đường Trương Định, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Võ Thị Sáu,Đường Trương Định,180,541,970,220.0,10,5,6,170000.0
1461,"Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",Quận 7,Bình Thuận,Đường Lý Phục Man,78,195,297,103.0,5,18,4,22000.0
1462,"56, Đường Nguyễn Văn Săng, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Sơn Nhì,"56, Đường Nguyễn Văn Săng",43,122,264,90.0,4,4,4,13500.0
1463,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",Quận 12,Thạnh Xuân,Đường Hà Huy Giáp,51,71,128,56.0,3,3,3,4800.0
1464,"Đường Hoàng Văn Thụ, Phường 8, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,8,Đường Hoàng Văn Thụ,161,202,513,124.8,5,18,18,24800.0
1465,"Đường Cửu Long, Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,2,Đường Cửu Long,138,281,444,100.0,3,4,4,29500.0
1466,"Đường Bùi Công Trừng, Xã Đông Thạnh, Hóc Môn, Hồ Chí Minh",Hóc Môn,Đông Thạnh,Đường Bùi Công Trừng,31,41,146,38.0,2,2,2,2700.0
1467,"Đường Phạm Đăng Giảng, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",Bình Tân,Bình Hưng Hòa,Đường Phạm Đăng Giảng,67,86,179,44.0,2,3,4,4200.0
1468,"Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",Gò Vấp,10,Đường Phan Văn Trị,101,132,299,9.0,2,2,2,1400.0
1469,"Đường Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Long Thạnh Mỹ,Đường Nguyễn Văn Tăng,58,141,317,110.0,3,4,4,13000.0
1470,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Sơn Nhì,Đường Tân Sơn Nhì,43,122,264,50.4,3,4,4,5300.0
1471,"Đường Số 5, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh",Bình Tân,Tân Tạo A,Đường Số 5,58,71,142,88.0,4,4,4,6100.0
1472,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn",41,147,214,111.12,3,4,4,11500.0
1473,"Phường 4, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,4,0,139,175,345,60.0,2,4,4,8100.0
1474,"Đường Liên Khu 2-10, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",Bình Tân,Bình Hưng Hòa A,Đường Liên Khu 2-10,67,86,179,94.5,3,4,4,5350.0
1475,"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",Quận 3,13,Đường Lê Văn Sỹ,154,199,834,60.0,3,5,5,12000.0
1476,"Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Nguyễn Cư Trinh,Đường Trần Đình Xu,179,466,873,92.0,5,6,7,32000.0
1477,"Dự án Hưng Thái 1 & 2, Phường Tân Phong, Quận 7, Hồ Chí Minh",Quận 7,Tân Phong,Dự án Hưng Thái 1 & 2,56,235,510,126.0,3,3,3,24700.0
1478,"Đường Nguyễn Tuyển, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Quận 2,Bình Trưng Tây,Đường Nguyễn Tuyển,86,125,357,166.4,6,26,27,44000.0
1479,"Đường Cao Bá Nhạ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Nguyễn Cư Trinh,Đường Cao Bá Nhạ,179,466,873,105.0,2,4,4,28500.0
1480,"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",Quận 3,14,Đường Trần Quang Diệu,146,184,696,28.0,4,3,4,4300.0
1481,"Đường Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh",Quận 6,14,Đường Tân Hòa Đông,181,219,272,73.6,2,2,3,11000.0
1482,"Đường Phạm Văn Hai, Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,2,Đường Phạm Văn Hai,138,281,444,75.0,5,4,5,19000.0
1483,"Dự án The Sholi Bình Tân, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh.",Bình Tân,An Lạc,"Dự án The Sholi Bình Tân, Đường An Dương Vương",74,97,219,80.0,5,8,8,13900.0
1484,"Đường Lãnh Binh Thăng, Phường 11, Quận 11, Hồ Chí Minh",Quận 11,11,Đường Lãnh Binh Thăng,108,130,289,55.0,1,2,2,1250.0
1485,"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh",Gò Vấp,16,Đường Thống Nhất,101,132,299,85.0,3,10,6,15000.0
1486,"Hẻm 154, Đường Âu Dương Lân, Phường 10, Quận 8, Hồ Chí Minh",Quận 8,10,"Hẻm 154, Đường Âu Dương Lân",102,132,650,56.5,3,3,2,5000.0
1487,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh.",Quận 2,Bình Trưng Đông,Đường Nguyễn Duy Trinh,84,107,187,240.0,3,4,4,35000.0
1488,"Đường Phạm Văn Đồng, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,13,Đường Phạm Văn Đồng,102,139,421,40.2,7,5,6,9500.0
1489,"Đường Tên Lửa, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",Bình Tân,Bình Trị Đông B,Đường Tên Lửa,70,90,202,100.0,3,14,15,11500.0
1490,"Dự án Lucasta Villa, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Lucasta Villa, Đường Liên Phường",41,147,214,175.0,3,4,5,25000.0
1491,"Đường Gò Dầu, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Sơn Nhì,Đường Gò Dầu,43,122,264,71.4,3,4,4,13300.0
1492,"Phố Phan Đăng Lưu, Phường 3, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,3,Phố Phan Đăng Lưu,106,141,404,125.0,3,6,4,15800.0
1493,"Dự án Hưng Phước, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",Quận 7,Tân Phong,"Dự án Hưng Phước, Đường Nguyễn Văn Linh",56,235,510,111.0,4,6,4,23500.0
1494,"Đường Hồ Xuân Hương, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Võ Thị Sáu,Đường Hồ Xuân Hương,180,541,970,240.0,3,5,6,130000.0
